team1,team2,winner,margin,matchDate,match_id
Super Kings,KKR,Super Kings,27 runs,15-Oct-21,T203817
Capitals,KKR,KKR,3 wickets,13-Oct-21,T206442
RCB,KKR,KKR,4 wickets,11-Oct-21,T208597
Capitals,Super Kings,Super Kings,4 wickets,10-Oct-21,T201819
Capitals,RCB,RCB,7 wickets,8-Oct-21,T205942
Mumbai,Sunrisers,Mumbai,42 runs,8-Oct-21,T201979
KKR,Royals,KKR,86 runs,7-Oct-21,T204179
Super Kings,Punjab Kings,Punjab Kings,6 wickets,7-Oct-21,T201866
Sunrisers,RCB,Sunrisers,4 runs,6-Oct-21,T209992
Royals,Mumbai,Mumbai,8 wickets,5-Oct-21,T205599
Super Kings,Capitals,Capitals,3 wickets,4-Oct-21,T207682
Sunrisers,KKR,KKR,6 wickets,3-Oct-21,T207430
RCB,Punjab Kings,RCB,6 runs,3-Oct-21,T207754
Super Kings,Royals,Royals,7 wickets,2-Oct-21,T205672
Mumbai,Capitals,Capitals,4 wickets,2-Oct-21,T209349
KKR,Punjab Kings,Punjab Kings,5 wickets,1-Oct-21,T201051
Sunrisers,Super Kings,Super Kings,6 wickets,30-Sep-21,T203061
Royals,RCB,RCB,7 wickets,29-Sep-21,T204742
Punjab Kings,Mumbai,Mumbai,6 wickets,28-Sep-21,T208262
Capitals,KKR,KKR,3 wickets,28-Sep-21,T206700
Royals,Sunrisers,Sunrisers,7 wickets,27-Sep-21,T206862
RCB,Mumbai,RCB,54 runs,26-Sep-21,T203043
KKR,Super Kings,Super Kings,2 wickets,26-Sep-21,T202406
Punjab Kings,Sunrisers,Punjab Kings,5 runs,25-Sep-21,T203188
Capitals,Royals,Capitals,33 runs,25-Sep-21,T202046
RCB,Super Kings,Super Kings,6 wickets,24-Sep-21,T207776
Mumbai,KKR,KKR,7 wickets,23-Sep-21,T202680
Sunrisers,Capitals,Capitals,8 wickets,22-Sep-21,T204364
Royals,Punjab Kings,Royals,2 runs,21-Sep-21,T207857
RCB,KKR,KKR,9 wickets,20-Sep-21,T204307
Super Kings,Mumbai,Super Kings,20 runs,19-Sep-21,T201256
Punjab Kings,Capitals,Capitals,7 wickets,2-May-21,T208407
Royals,Sunrisers,Royals,55 runs,2-May-21,T209103
Super Kings,Mumbai,Mumbai,4 wickets,1-May-21,T203694
Punjab Kings,RCB,Punjab Kings,34 runs,30-Apr-21,T208245
KKR,Capitals,Capitals,7 wickets,29-Apr-21,T201595
Royals,Mumbai,Mumbai,7 wickets,29-Apr-21,T209461
Sunrisers,Super Kings,Super Kings,7 wickets,28-Apr-21,T205094
RCB,Capitals,RCB,1 run,27-Apr-21,T208915
Punjab Kings,KKR,KKR,5 wickets,26-Apr-21,T209997
Super Kings,RCB,Super Kings,69 runs,25-Apr-21,T202915
KKR,Royals,Royals,6 wickets,24-Apr-21,T205585
Mumbai,Punjab Kings,Punjab Kings,9 wickets,23-Apr-21,T204808
Royals,RCB,RCB,10 wickets,22-Apr-21,T201545
Super Kings,KKR,Super Kings,18 runs,21-Apr-21,T202233
Punjab Kings,Sunrisers,Sunrisers,9 wickets,21-Apr-21,T204912
Mumbai,Capitals,Capitals,6 wickets,20-Apr-21,T207273
Super Kings,Royals,Super Kings,45 runs,19-Apr-21,T209089
Punjab Kings,Capitals,Capitals,6 wickets,18-Apr-21,T209593
RCB,KKR,RCB,38 runs,18-Apr-21,T202791
Mumbai,Sunrisers,Mumbai,13 runs,17-Apr-21,T201372
Punjab Kings,Super Kings,Super Kings,6 wickets,16-Apr-21,T205292
Capitals,Royals,Royals,3 wickets,15-Apr-21,T203570
RCB,Sunrisers,RCB,6 runs,14-Apr-21,T202204
Mumbai,KKR,Mumbai,10 runs,13-Apr-21,T209194
Punjab Kings,Royals,Punjab Kings,4 runs,12-Apr-21,T207896
KKR,Sunrisers,KKR,10 runs,11-Apr-21,T209178
Super Kings,Capitals,Capitals,7 wickets,10-Apr-21,T206363
Mumbai,RCB,RCB,2 wickets,9-Apr-21,T203784
Royals,Titans,Titans,7 wickets,29-May-22,T202715
RCB,Royals,Royals,7 wickets,27-May-22,T201109
RCB,Super Giants,RCB,14 runs,25-May-22,T207136
Royals,Titans,Titans,7 wickets,24-May-22,T203302
Sunrisers,Punjab Kings,Punjab Kings,5 wickets,22-May-22,T204029
Capitals,Mumbai,Mumbai,5 wickets,21-May-22,T205729
Super Kings,Royals,Royals,5 wickets,20-May-22,T203588
Titans,RCB,RCB,8 wickets,19-May-22,T201867
Super Giants,KKR,Super Giants,2 runs,18-May-22,T202863
Sunrisers,Mumbai,Sunrisers,3 runs,17-May-22,T206060
Capitals,Punjab Kings,Capitals,17 runs,16-May-22,T209295
Royals,Super Giants,Royals,24 runs,15-May-22,T204939
Super Kings,Titans,Titans,7 wickets,15-May-22,T204140
KKR,Sunrisers,KKR,54 runs,14-May-22,T209676
Punjab Kings,RCB,Punjab Kings,54 runs,13-May-22,T203332
Super Kings,Mumbai,Mumbai,5 wickets,12-May-22,T203878
Royals,Capitals,Capitals,8 wickets,11-May-22,T201826
Titans,Super Giants,Titans,62 runs,10-May-22,T207400
KKR,Mumbai,KKR,52 runs,9-May-22,T203087
Super Kings,Capitals,Super Kings,91 runs,8-May-22,T205352
RCB,Sunrisers,RCB,67 runs,8-May-22,T207464
Super Giants,KKR,Super Giants,75 runs,7-May-22,T204710
Punjab Kings,Royals,Royals,6 wickets,7-May-22,T201231
Mumbai,Titans,Mumbai,5 runs,6-May-22,T201720
Capitals,Sunrisers,Capitals,21 runs,5-May-22,T201248
RCB,Super Kings,RCB,13 runs,4-May-22,T207511
Titans,Punjab Kings,Punjab Kings,8 wickets,3-May-22,T209502
Royals,KKR,KKR,7 wickets,2-May-22,T201137
Super Kings,Sunrisers,Super Kings,13 runs,1-May-22,T206274
Super Giants,Capitals,Super Giants,6 runs,1-May-22,T208561
Royals,Mumbai,Mumbai,5 wickets,30-Apr-22,T204259
RCB,Titans,Titans,6 wickets,30-Apr-22,T208841
Super Giants,Punjab Kings,Super Giants,20 runs,29-Apr-22,T207116
KKR,Capitals,Capitals,4 wickets,28-Apr-22,T209582
Sunrisers,Titans,Titans,5 wickets,27-Apr-22,T209115
Royals,RCB,Royals,29 runs,26-Apr-22,T205212
Punjab Kings,Super Kings,Punjab Kings,11 runs,25-Apr-22,T207611
Super Giants,Mumbai,Super Giants,36 runs,24-Apr-22,T208801
RCB,Sunrisers,Sunrisers,9 wickets,23-Apr-22,T208774
Titans,KKR,Titans,8 runs,23-Apr-22,T208514
Royals,Capitals,Royals,15 runs,22-Apr-22,T206421
Mumbai,Super Kings,Super Kings,3 wickets,21-Apr-22,T202326
Punjab Kings,Capitals,Capitals,9 wickets,20-Apr-22,T203741
RCB,Super Giants,RCB,18 runs,19-Apr-22,T204535
Royals,KKR,Royals,7 runs,18-Apr-22,T206892
Super Kings,Titans,Titans,3 wickets,17-Apr-22,T206030
Punjab Kings,Sunrisers,Sunrisers,7 wickets,17-Apr-22,T208958
RCB,Capitals,RCB,16 runs,16-Apr-22,T205793
Super Giants,Mumbai,Super Giants,18 runs,16-Apr-22,T204555
KKR,Sunrisers,Sunrisers,7 wickets,15-Apr-22,T208105
Titans,Royals,Titans,37 runs,14-Apr-22,T207043
Punjab Kings,Mumbai,Punjab Kings,12 runs,13-Apr-22,T208002
Super Kings,RCB,Super Kings,23 runs,12-Apr-22,T203601
Titans,Sunrisers,Sunrisers,8 wickets,11-Apr-22,T208211
Royals,Super Giants,Royals,3 runs,10-Apr-22,T207999
Capitals,KKR,Capitals,44 runs,10-Apr-22,T208705
Mumbai,RCB,RCB,7 wickets,9-Apr-22,T204746
Super Kings,Sunrisers,Sunrisers,8 wickets,9-Apr-22,T209199
Punjab Kings,Titans,Titans,6 wickets,8-Apr-22,T202634
Capitals,Super Giants,Super Giants,6 wickets,7-Apr-22,T204296
Mumbai,KKR,KKR,5 wickets,6-Apr-22,T207856
Royals,RCB,RCB,4 wickets,5-Apr-22,T203456
Super Giants,Sunrisers,Super Giants,12 runs,4-Apr-22,T204825
Punjab Kings,Super Kings,Punjab Kings,54 runs,3-Apr-22,T206118
Titans,Capitals,Titans,14 runs,2-Apr-22,T205181
Royals,Mumbai,Royals,23 runs,2-Apr-22,T209847
Punjab Kings,KKR,KKR,6 wickets,1-Apr-22,T203227
Super Kings,Super Giants,Super Giants,6 wickets,31-Mar-22,T207058
KKR,RCB,RCB,3 wickets,30-Mar-22,T203578
Royals,Sunrisers,Royals,61 runs,29-Mar-22,T205314
Super Giants,Titans,Titans,5 wickets,28-Mar-22,T202349
RCB,Punjab Kings,Punjab Kings,5 wickets,27-Mar-22,T208141
Mumbai,Capitals,Capitals,4 wickets,27-Mar-22,T205838
Super Kings,KKR,KKR,6 wickets,26-Mar-22,T201512
Titans,Super Kings,Super Kings,5 wickets,"May 28-29, 2023",T208201
Titans,Mumbai,Titans,62 runs,26-May-23,T203496
Mumbai,Super Giants,Mumbai,81 runs,24-May-23,T203571
Super Kings,Titans,Super Kings,15 runs,23-May-23,T206084
RCB,Titans,Titans,6 wickets,21-May-23,T201605
Sunrisers,Mumbai,Mumbai,8 wickets,21-May-23,T206817
Super Giants,KKR,Super Giants,1 run,20-May-23,T203370
Super Kings,Capitals,Super Kings,77 runs,20-May-23,T206925
Punjab Kings,Royals,Royals,4 wickets,19-May-23,T205037
Sunrisers,RCB,RCB,8 wickets,18-May-23,T202467
Capitals,Punjab Kings,Capitals,15 runs,17-May-23,T201082
Super Giants,Mumbai,Super Giants,5 runs,16-May-23,T208249
Titans,Sunrisers,Titans,34 runs,15-May-23,T208692
Super Kings,KKR,KKR,6 wickets,14-May-23,T206211
RCB,Royals,RCB,112 runs,14-May-23,T204453
Punjab Kings,Capitals,Punjab Kings,31 runs,13-May-23,T208032
Sunrisers,Super Giants,Super Giants,7 wickets,13-May-23,T204737
Mumbai,Titans,Mumbai,27 runs,12-May-23,T203656
KKR,Royals,Royals,9 wickets,11-May-23,T205338
Super Kings,Capitals,Super Kings,27 runs,10-May-23,T209224
RCB,Mumbai,Mumbai,6 wickets,9-May-23,T205430
Punjab Kings,KKR,KKR,5 wickets,8-May-23,T201181
Royals,Sunrisers,Sunrisers,4 wickets,7-May-23,T201576
Titans,Super Giants,Titans,56 runs,7-May-23,T201503
RCB,Capitals,Capitals,7 wickets,6-May-23,T208517
Mumbai,Super Kings,Super Kings,6 wickets,6-May-23,T204004
Royals,Titans,Titans,9 wickets,5-May-23,T206195
KKR,Sunrisers,KKR,5 runs,4-May-23,T208611
Punjab Kings,Mumbai,Mumbai,6 wickets,3-May-23,T205138
Capitals,Titans,Capitals,5 runs,2-May-23,T203464
RCB,Super Giants,RCB,18 runs,1-May-23,T203494
Royals,Mumbai,Mumbai,6 wickets,30-Apr-23,T204100
Super Kings,Punjab Kings,Punjab Kings,4 wickets,30-Apr-23,T204443
Sunrisers,Capitals,Sunrisers,9 runs,29-Apr-23,T207344
KKR,Titans,Titans,7 wickets,29-Apr-23,T201505
Super Giants,Punjab Kings,Super Giants,56 runs,28-Apr-23,T204958
Royals,Super Kings,Royals,32 runs,27-Apr-23,T204283
KKR,RCB,KKR,21 runs,26-Apr-23,T202291
Titans,Mumbai,Titans,55 runs,25-Apr-23,T208781
Capitals,Sunrisers,Capitals,7 runs,24-Apr-23,T206316
Super Kings,KKR,Super Kings,49 runs,23-Apr-23,T207135
RCB,Royals,RCB,7 runs,23-Apr-23,T205220
Punjab Kings,Mumbai,Punjab Kings,13 runs,22-Apr-23,T204462
Titans,Super Giants,Titans,7 runs,22-Apr-23,T208595
Sunrisers,Super Kings,Super Kings,7 wickets,21-Apr-23,T208568
KKR,Capitals,Capitals,4 wickets,20-Apr-23,T206506
RCB,Punjab Kings,RCB,24 runs,20-Apr-23,T209410
Super Giants,Royals,Super Giants,10 runs,19-Apr-23,T205539
Mumbai,Sunrisers,Mumbai,14 runs,18-Apr-23,T203831
Super Kings,RCB,Super Kings,8 runs,17-Apr-23,T206232
Titans,Royals,Royals,3 wickets,16-Apr-23,T204210
KKR,Mumbai,Mumbai,5 wickets,16-Apr-23,T202897
Super Giants,Punjab Kings,Punjab Kings,2 wickets,15-Apr-23,T203424
RCB,Capitals,RCB,23 runs,15-Apr-23,T208157
Sunrisers,KKR,Sunrisers,23 runs,14-Apr-23,T209839
Punjab Kings,Titans,Titans,6 wickets,13-Apr-23,T206541
Royals,Super Kings,Royals,3 runs,12-Apr-23,T201215
Capitals,Mumbai,Mumbai,6 wickets,11-Apr-23,T207664
RCB,Super Giants,Super Giants,1 wicket,10-Apr-23,T202162
Punjab Kings,Sunrisers,Sunrisers,8 wickets,9-Apr-23,T206444
Titans,KKR,KKR,3 wickets,9-Apr-23,T208626
Mumbai,Super Kings,Super Kings,7 wickets,8-Apr-23,T206408
Royals,Capitals,Royals,57 runs,8-Apr-23,T207547
Sunrisers,Super Giants,Super Giants,5 wickets,7-Apr-23,T209590
KKR,RCB,KKR,81 runs,6-Apr-23,T207668
Punjab Kings,Royals,Punjab Kings,5 runs,5-Apr-23,T201031
Capitals,Titans,Titans,6 wickets,4-Apr-23,T205026
Super Kings,Super Giants,Super Kings,12 runs,3-Apr-23,T202790
Mumbai,RCB,RCB,8 wickets,2-Apr-23,T202485
Royals,Sunrisers,Royals,72 runs,2-Apr-23,T209117
Super Giants,Capitals,Super Giants,50 runs,1-Apr-23,T208512
Punjab Kings,KKR,Punjab Kings,7 runs,1-Apr-23,T202853
Super Kings,Titans,Titans,5 wickets,31-Mar-23,T201566
